번호,대표음식명,에너지(㎉),탄수화물(g),단백질(g),지방(g),총당류(g),나트륨(㎎)
157,설렁탕,424.13,49.52,49.21,6.98,14.85,0
158,알탕,541.19,21.64,91.65,9.2,0,0
159,연포탕,480.82,24.16,43.21,21.64,1.03,0
160,오리탕,338.67,24.42,37.37,11.51,1.81,0
161,추어탕,272.26,19.58,41.74,3.38,1.55,0
162,해물탕,317.07,19.18,33.74,14.95,0,0
163,닭개장,137.86,11.62,13.44,5.87,0,0
164,육개장,692.93,25.42,67.92,37.16,0,0
165,뼈해장국,77.35,19.74,5.61,1.35,8.99,0
166,미역오이냉국,605.31,32.03,59.16,28.2,0,0
167,고등어찌개,356.63,14.48,29.51,20.69,0.72,0
168,꽁치찌개,369.69,18.94,59.57,7.8,1.38,0
169,동태찌개,525.98,46.81,27.71,28.48,0,0
170,부대찌개,147.06,15.98,11.71,5.27,0,0
171,된장찌개,275.46,14.97,25.84,14.43,0,0
172,청국장찌개,315.11,16.2,29.15,19.15,0.86,0
173,두부전골,532.65,26.89,38.35,34.73,0,0
174,곱창전골,203.22,16.55,19.47,7.54,0,0
175,소고기전골,643.16,66.93,45.29,22.39,4,0
176,국수전골,246.29,9.33,15.5,18.26,0,0
177,돼지고기김치찌개,171.86,15.26,16.64,7.52,0,0
178,버섯찌개,193.58,13.33,16.86,10.89,0,0
179,참치김치찌개,198.47,8.78,14.72,14.03,0,0
180,순두부찌개,248.66,24.52,15.96,12.81,0,0
181,콩비지찌개,190.47,15.44,11.63,10.68,0,0
182,햄김치찌개,98.3,12.74,7.78,2.34,2.06,0
183,호박찌개,263.44,20.08,25.62,12.35,0,0
184,고추장찌개,372.68,26.43,54.08,8.43,0,0
185,대구찜,126.31,0.76,21.01,3.68,0,0
186,도미찜,67.49,0.18,14.14,0.73,0,0
187,문어숙회,310.7,17.59,48.85,6.68,0,0
188,아귀찜,185.25,1.81,22.27,9.2,0.34,0
189,조기찜,89.77,4.92,12.98,2.17,1.6,0
190,참꼬막,397.38,36.02,50.28,8.94,0,0
191,해물찜,500.45,11.31,42.55,29.17,0,0
192,소갈비찜,249.7,8.82,20.57,14.42,1.76,0
193,돼지갈비찜,1218.19,8.69,61.47,99.52,0,0
194,돼지고기수육,1358.38,140.64,114.9,36.54,57.52,0
195,찜닭,381.57,32.3,26.02,16.62,0,0
196,족발,190,4.81,16.2,10.91,0,0
197,달걀찜,562.1,24.54,52.3,28.89,3.51,0
198,닭갈비,177.51,12.9,12.35,7.9,8.58,0
199,닭꼬치,248.52,7.6,19.95,14.7,5.01,0
200,돼지갈비,762.99,26.61,43.09,51.58,12.49,0
201,떡갈비,386.79,13.05,32.9,21.78,1.1,0
202,불고기,639.11,6.51,35.62,51.71,0,0
203,소곱창구이,986.92,27.74,61.97,66.48,14.31,0
204,소양념갈비구이,174.73,19.63,14.22,4.68,9.49,0
205,소불고기,485.51,15.04,29.33,33.71,8.35,0
206,양념왕갈비,436.75,21.35,24.92,28.05,0,0
207,햄버거스테이크,789.96,11.83,38.16,64.65,6.25,0
208,훈제오리,692.52,50.73,47.34,32.19,3.64,0
209,치킨데리야끼,219.42,9.97,11.41,14.23,2.45,0
210,치킨윙,183.74,31.78,5.8,5.62,10.85,0
211,더덕구이,60.93,7.62,2.71,2.65,0.84,0
212,양배추구이,90.67,1.53,9.41,6.27,0,0
213,두부구이,355.71,8.48,37.83,18.01,0,0
214,삼치구이,220.46,6.68,29.97,7.12,0,0
215,가자미전,192.81,13.92,12.56,9.07,0,0
216,굴전,265.25,11.48,19.87,16.14,0,0
217,동태전,267.23,27.68,12.94,12.57,0,0
218,해물파전,312.41,14.71,19.67,18.72,0,0
219,동그랑땡,232.6,9.73,13.07,15.48,0,0
220,햄부침,197.1,6.72,19.58,9.51,0.3,0
221,육전,366.16,53.81,9.67,13.61,0,0
222,감자전,261.44,17.78,13.94,14.86,0.75,0
223,고추전,285.73,32.07,13.17,12.48,0,0
224,김치전,357.62,16.65,18.3,24.64,0.75,0
225,깻잎전,200.71,18.64,9.96,8.32,0,0
226,녹두빈대떡,215.86,30.1,6.09,8.63,0,0
227,미나리전,241.01,32.51,6.41,10.49,0,0
228,배추전,239.68,18.61,11.93,12.93,0.75,0
229,버섯전,241.18,32.01,7.14,9.5,0,0
230,부추전,194.94,24.97,4.95,8.78,0,0
231,야채전,280.55,37.46,7.73,12.04,0,0
232,파전,130.72,8.67,3.37,9.24,0,0
233,호박부침개,215.28,16.56,6.59,14.42,0,0
234,호박전,172.24,4.67,12.04,11.23,0,0
235,달걀말이,134.88,4.29,9.92,8.76,0,0
236,두부부침,253.89,8.08,18.66,18.03,0,0
237,두부전,69.19,4.81,7.22,2.3,2.7,0
238,건새우볶음,180.59,23.51,17.87,3,6.7,0
239,낙지볶음,69.23,5.69,6.97,2.04,3.43,0
240,멸치볶음,281.54,36.28,18.04,8.08,4.47,0
241,어묵볶음,243.7,27.42,20.43,6.84,9.28,0
242,오징어볶음,55.71,7,5.39,0.69,1.35,0
243,오징어채볶음,211.81,21.69,20.16,6.11,6.7,0
244,주꾸미볶음,420.53,36.53,37.48,15.32,7.66,0
245,해물볶음,57.8,8.23,1.34,2.53,0.5,0
246,감자볶음,189.97,21.83,5.29,12.13,8.96,0
247,김치볶음,212.39,17.33,8.03,16.37,0.2,0
248,깻잎나물볶음,133.32,14.22,4.41,8.93,0.15,0
249,느타리버섯볶음,292.42,13.84,19.15,21.32,0,0
250,두부김치,102.99,7.71,4.3,7.95,0,0
251,머위나물볶음,132.42,10.55,5.46,9.79,0,0
252,양송이버섯볶음,143.6,14.28,4.01,7.36,1.49,0
253,표고버섯볶음,264.22,22.11,12.86,12.71,8.45,0
254,고추잡채,29.19,3.09,0.77,2.01,0,0
255,호박볶음,353.13,15.33,25.75,20.94,4.75,0
256,돼지고기볶음,346.14,22.73,22.39,19.23,15.84,0
257,돼지껍데기볶음,476.04,28.81,17.04,33.24,5.83,0
258,소세지볶음,579.56,70.96,17.58,25.61,14.29,0
259,순대볶음,559.93,24.47,38.16,34.25,4.07,0
260,오리불고기,356.94,21.46,23.35,20.24,7.42,0
261,오삼불고기,300.76,58.85,8.72,2.96,5.7,0
262,떡볶이,266.03,41.13,7.96,9.59,6.36,0
263,라볶이,226.92,10.99,16.85,12.01,0.57,0
264,마파두부,301.29,20.34,40.7,6.9,5.99,0
265,가자미조림,99.39,5.49,10.68,3.92,0.5,0
266,갈치조림,459.34,10.96,45.37,25.35,1.46,0
267,고등어조림,280.09,8.36,22.59,16.67,1.39,0
268,꽁치조림,270.61,16.77,39.03,4.09,5,0
269,동태조림,184.58,15.66,23.88,3.04,2.91,0
270,북어조림,378.26,14.24,41.43,16.26,1.45,0
271,조기조림,146.67,4.57,18.46,5.62,0.5,0
272,코다리조림,133.73,10.03,8.75,6.4,3.17,0
273,달걀장조림,205.08,7.36,12.11,13.69,2.45,0
274,메추리알장조림,62.97,3.14,7.62,2.11,0.84,0
275,돼지고기메추리알장조림,61.22,3.45,6.67,2.21,1,0
276,소고기메추리알장조림,105.88,14.83,2.86,4.19,2.99,0
277,고추조림,39.01,8.4,1.55,0.2,0.79,0
278,감자조림,68.5,15.51,1.1,0.33,7.61,0
